original_text,augmented_text,similarity
को अर्को सफलता ।। सबका फाउड्रेसन छन करखपतका लागि तयार,अर्को सफलता। सबै शिक्षकहरू कराचीका लागि तयार छन्।,0.99730736
भेडाको उनबाट बनाइएको भेडा । संग मेल खान नि सक्छ ।।,भेडाहरूबाट बनिएका भेडाहरू। तिनीहरू एकसाथ मिल्नेछन्।,0.9979406
अब किन रबि लामिछानेको भरखरको पार्टीलाइ गाली गर्नु उनीले पनि त भनेका थिए सरकारमा जाने तर प्रतिपक्षको भुमिका खेल्ने काग्रेसंले सिके कि क्या हो,"अब रवीन्द्रनाथको भरत पार्टीको प्रशंसा गर्नका लागि उनले सरकारमा जानु पनि भने, तर कङ्ग्रेसले के सिक्ेको छ त्यो विपक्षीको जमीनमा खेल्नु हो।",0.9989278
शेर बले ओलीको when will u come back वाला बार्गेनिंग पावर जमिनमा ल्याइदिएछन। संसदका बिधेय रोकेर आलंकारीक रास्ट्रपतिलाई खल्तीबाट प्रयोग गरेर संसद भन्दा शक्तिसाली बनाउने फेरी प्रम बनेर मनमौजी गर्ने सपना रोक्न हो भने ठीक छ शेर ब दाई प्रममा कम ब्याक गर्न र्याल हो भने चाही,"यदि यो संसदको आधालाई रोक्ने सपना हो र उहाँलाई संसदभन्दा शक्तिशाली बनाउनका लागि तानाशाही राष्ट्रपतिलाई षडयन्त्रकको रूपमा प्रयोग गर्ने र त्यसपछि एउटा समर्थक र खिल्ली उडाउने नेता बन्नको सपना हो भने, ठीक हुन्छ । यदि यो शेरिफलाई फर्केर आउँदा रोक्ने सपना हो भने, ठीक हुन्छ । यदि यो शेरिफलाई कम फर्केर दिन चाहन्छ भने, ठीक हुन्छ ।",0.99749434
सबै बा हरु नानी का बा बार्दाली बा देउ बा हरुलाई हराउनुपर्छ। भौमान् उवाच,बाबेलका सबै छोरा-छोरीहरू पराजित हुनेछन्।,0.99610066
सरकारमा पनि हुनुहुन्छ । करको सदुपयोग टेबुलबाट गरम न त ।,करको प्रयोग बबलबाट चम्किरहेको छैन ।,0.9973682
राजाको भर नपर्नुस । राजा देखाएरै केही फटाह तपाईं हामी लाई अलमल्याउदै छन । अरु भए भन्न पाइन्छ । राजा भए पाइन्न ।,तपाईंले हामीलाई राजासित भयभीत तुल्याउनु भयो। तपाईंले हामीलाई राजासित भयभीत तुल्याउनु भयो। तपाईंले हामीलाई राजासित भयभीत तुल्याउनु भयो।,0.9941514
ए गोरु तेरो भगवानले ठुलै दौलत सहित डिभोर्सी धनाढ्य आन्टी पाउन साथ अमेरिकन भाउजू छोडेको देखिनस बा को बिरुद्ध भन्नेले बा कै फेरो समायर सत्ता यात्र गरेको देखिनसआफू बिरुद्धको मुद्दा पन्छाउन तेहि मन्त्रालय बार्गेनिङ गरेर मन्त्री खाको देखिनस,"गोर, तिम्रो परमेश्वरले तिमीलाई संसारका धेरै धनी उपहार दिनु भएको छ। तिमीले संयुक्त राज्य अमेरिकालाई बासँग लड्न छोडेका छौ ताकि बाले तिम्रो देशलाई नियन्त्रण गर्न सक्छ।",0.9963856
अबको बाटो प्रचण्ड पथ होइन प्रकृति पथ हो । नयाँ लाई पनि त्यहि पथ मा डोराउने छ ढिलो चाडो ।,“परमेश्वरको बाटो ती मानिसहरूको बाटो होइन जो परमेश्वरको बाटोमा हिंड्छन्। नयाँ मानिसहरू पनि त्यस बाटोमा हिंड्नेछन्। तिनीहरू धीमे धीमे धीमे हुनेछन्।,0.9966731
रास्वपा का सबैले एक चोटी हेर्नै पर्ने देखियो र मा केहि फरक रहेन। बोलिको टुङ्गो रहेनछ लाज पचेका नेता र भनौदा थुक्क मेरो देश थुक्क हामी भेंडा,"“स्वापका सबै मानिसहरू एक-अर्कामा हेरिरहेका थिए। म र तिनीहरूको बीचमा कुनै फरक थिएन। तर त्यो लाजमर्दो अगुवाको मुख काटियो अनि भन्यो, ‘तक्क, मेरो देश, हामी भेडाहरू, तक्क।’",0.99748415
आज पहिलो पटक कांग्रेसको हारमा खुसी मनाउन मन लागेको छ। कांग्रेसका माननिय भनौदाहरूले जनताको अभिमतलाई सम्मान नगर्दा आज कांग्रेसले यो हविगत भोग्नु परेको हो।,"पहिलो पटक, आज कङ्ग्रेसको हार मनाउन म खुशी छु।",0.9973839
गगन प्रधानमन्त्री हुन लाएकका मान्छे थिए तर रबिलाई प्रयोग गरेर छिर्की हान्न खोजे गर्नेहरु सबै खसी बन्दछन तेरिमा अमेरिकी बोका हो । अब तिम्रो बीउ नेपाली भुमिमा उम्रदैन र उम्रन दिदैनौ ।,तिम्रा बीऊहरू नेपालको भूमिमा लामो समयसम्म उम्रने छैनन्। तिम्रा बीऊहरू फेरि उम्रने छैनन्।,0.9963322
यस्ता गाण्डतन्त्रे महारानी स्वीकार्य छैन,यस प्रकारको भूमिगत रानीलाई स्वीकार गरिएको छैन,0.9953285
क्याम्पियन लाई साम दाम र दण्ड प्रयोग गरेर भए पनि जित निकाल्नु भएको धेरै धेरै बधाई साथै देश को प्रगति यहाँका कर्यकाल मा जनतालाइ बिगत ३२ बर्ष देखि लोपारेर देखाएकै हो तै पनि पुनः प्रधानमन्त्री बनेर बिश्व रेकर्ड चै राखेरै छोड्नु कामना छ।,"देशको प्रगति गत ३२ वर्षका दौरान जनतालाई देखाइएको छ, यद्यपि कैमरोनलाई पैसा र सजाय प्रयोग गरेकोमा धेरै बधाई र सजाय दिइएको छ, र आशा गरिएको छ कि उनी फेरि प्रधानमन्त्री निर्वाचित हुनेछन् र विश्व रेकर्ड छोड्नेछन् ।",0.9978439
नि देउवाका अन्धभक्त नै हुन कसरी असक्षमता र भ्रष्टाचार संरक्षकत्व दिने कुराको निरन्तरतालाई समर्थन गर्न सक्या होला,म अक्षमता र भ्रष्टाचार निवारणको निरन्तरतालाई कसरी समर्थन गर्न सक्छु?,0.997664
चुनाव सकियो। अव वन्ने संघीय र प्रदेश सरकारमा सडेकागलेका पुरानाथोत्रा रोगी र वुढो प्रधानमन्त्रीमन्त्रीहरुलाई भन्ने पो हो कि युवाहरुलाई देश हाँक्न दिऊँ।,"संघीय र प्रान्तीय सरकारमा, यो सबैभन्दा पुरानो र सबैभन्दा बिमारी प्रधानमन्त्रीलाई प्रार्थना गर्ने विषय हो ताकि युवाहरूले देशको हाँसो उडाउन सक्छन्।",0.9983391
पुन मतदान हुने ठाऊमा vote नहालौ एस्को पार्टीलाई,इको पार्टीको मतदान केन्द्रमा फेरि मत नदेऊ,0.9984278
चुनाव त सक्यो अब सायद देश सकिएला हेरौ अब,"चुनावहरू अब समाप्त भएका छन्, सायद देश अब समाप्त भएको छ",0.99675554
यसपाली नो नट अगेन को पछि लाग्ने लाई धक्का लागेछ । जस्तै खांड यादव आदि इत्यादी । अर्को पालो उहाँहरुको । घन्टी बजाएर लौरोले सेक्न पर्छ सोल्टी हरुलाई।,बल नो. नो. अगेनको पछाडि हिट्नेछ । जस्तै खान्ड यादाद इत्यादि अन्य बल तिनीहरूको हो ।,0.99795103
अब को सरकार,सरकारको,0.9888219
नो नट अगेन न शेरबहादुर न खड्गप्रसाद न माधव कुमार न पुष्पकमल,एपेन होइन एपेन होइन आगा प्रसाद होइन माधव कुमार होइन आगा,0.9959232
याे पल्ट एसिया मुलुकले युरोपियन मुलुकलाई घण्टी बजाउने पालो रैछ।,यो पहिलो पटक एशियाको एउटा देशलाई युरोपको एउटा देशलाई घण्टी बजाउन अनुमति दिइएको छ ।,0.9977753
यसपाली ब्राजिलको घण्टी बजाउनु पर्छ सधै विश्वकप उसैले मात्र खेलि रहन पर्ने,"समय ब्राजिलको घण्टी बजाउनु पर्दछ, सधै विश्व कप उनको हातमा खेल्नु पर्दछ।",0.9981122
कांग्रेस र कम्युनिष्ट नै हुन् बिदेशीको अजेण्डामा नेपालका महत्वपुर्ण उद्योग कल कारखाना कृषि ध्वस्त बनाए र मुलुक बिदेशीसंग मागेर खानुपर्ने युगमा पुर्याए। डाक्टर विद्वान महान प्रजातन्त्रवादी आदि आदि खोल वोढेका सबै विदेशीका एजेन्टहरु पो रहेछन,विदेशीहरूको नजरमा नेपालका महत्वपूर्ण उद्योग कारखानाहरूले कृषिलाई नष्ट पारिदिए र देशलाई विदेशीहरूले खाओस् भन्ने युगमा पुर्याए।,0.9986863
फेरि एमाले र माओवादी मिलेर गए भने अहिले आएको मत पनि जनताले खोस्न सकेनन र उनिहरुलाइ बिस्वास गरिरहे भने नेपाली जनता जनता होइनन। कसैले केही लोभ देखायो कि उतै जाने भुस्या हुन।,"यदि नेतृत्व र माओवादीहरू फेरि एकसाथ गए भने, मानिसहरूले अब मत हराउन सकेनन्, र यदि तिनीहरू नेपालमा बस्छन् भने, तिनीहरू मानिसहरू होइनन्। कसैले त्यहाँ जानका लागि केही तिर्खा देखायो।",0.99829483
रवि लामिछाने मलाइ खासै टेस पर्ने मान्छे त हैनन तर यिनले मै हु भन्ने नेताहरुको नि सात्तो पुत्त्लो चाहिँ उडाइदिए। यिनिहरुजस्तालाइ स्वाद दिन नि जनताले मत परिवर्तन गरे।,"रवी खास गरेर स्वादिष्ट मानिस होइन, तर उनी ती नेताहरूका रित्तो टाउको हुन् जसले म नै हुँ भनेर भन्छन्। मानिसहरूले उनीहरू जस्तै स्वादिष्ट हुनका लागि आफ्नो मन परिवर्तन गरे।",0.99777627
मुमाराम खनाल जस्ता दहिचुरे र ढोंगीको इन्टरभ्युलाई नी अब भन्ने दिन आयो,"दिन आयो जब दाहितुरी र Dhongiका अन्वेषकहरू जस्तै मुम्राम साबारीले भने, ""नहीं!""",0.99874353
नैतिकताको आधारमा पार्टीले सोचेजती जित्न नसकेकोले काङ्ग्रेस एमाले र माओबादीका सभापतिअध्यक्षहरुले चाहिँ राजीनामा दिन पर्ने हो अनि प्रम नि हुन्छु भन्न नैतिकताले नदिन पर्ने हो। तर त्यस्तो उच्च नैतिकता र संस्कार भए पो उनिहरुमा,"पार्टीले नैतिकताको आधारमा विचारपूर्वक जित्न अक्षम भएकोले, कङ्ग्रेसका सभापति र माओबाबलाई त्यागपत्र दिनु पर्दछ र तिनीहरूलाई नैतिक रूपमा विदा लिन बाध्य हुनु पर्दैन।",0.9988016
सामाजिक संजाल मा ह्याट्स ट्याग ले भुत्लि भांग केहि असर गरेन मुख्य चोर नेताहरु लाइ,सामाजिक सञ्जालमा घृणा गर्ने ट्यागले मुख्य चोरहरूका नेताहरूलाई असर पार्दैन,0.9973839
ले के भयो र खै पढेलेखेका भेडा धेरै भएपछी। नेतालाई गाली नगरै हामी जनता नै देशद्रोहमा लागे पछि।,धेरै भेडाहरू त्यहाँ थिए जसले पढ्थे अनि लेख्थे। यसर्थ हामी मानिसहरू दास थियौं। तर हामीले अगुवालाई सराप्नु भएनौं।,0.9983477
डडेल्धुराका मान्छे भेडा हुन् यसमा कुनै दुई मत छैन।मलाई सागर प्रति खासै आशा थिएनकिन कि भोट जनताले होइन जनावर बाट गराइन्छ डडेल्धुरामा। तर चितवनको ठुलो आशा थियो।राम्रो नतिजा आओस्,"मसँग समुद्रका लागि धेरै आशा थिएन किनभने दिल्लीमा मतदान जनावरद्वारा गरिन्छ, मानिसहरूद्वारा होइन। तर चितवानसँग ठूलो आशा थियो।",0.9978287
मुसो नेपाली जनता बिरालो ठूला दलका नेता,नेपाली जनता बिरालो मेजर पार्टी नेता,0.9983879
आज बिदेशी दलाल र रास्ट्रभक्तहरु छुट्टाउने दिन। भारतीय दलालहरु मुर्दाबाद।,विदेशीहरू र देशभक्तहरू बीचको विच्छेदको दिन।,0.9968784
सही मान्छे गतल पार्टी फेरी पनि भने मण्डले र राणासोंच ले बर्वाद पारेको देशमा मण्डलेलाई नै अंगाल्नु लाई कसरी सही भन्ने जावो भन्दा जेल हाल्छु भन्ने सोंच राणाकालीन सोंच नेपालमा कायमै छ भन्ने देखाउदैन र,फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट फेस्ट,0.9820328
मानुसिमा बाबुरामको नामको घमण्ड देखिन्छ येस्ता युवाहरुले देशको लागि कुनै योगदान दिदैनन सतह नबुझेको मान्छे नेपालको राजनीतिमा काम छैन यिनलाई अगाडि ल्याउनु भनेको बाउको नाम बेचेर घ्यु खान दिनु मात्रै हो।,मुन्शीमाको नाउँको गर्व यस्तो देखिन्छ कि यी युवाहरूले देशको लागि केही योगदान गर्दैनन्। यस अपरिचित व्यक्तिसँग नेपालकी राजनीतिमा कुनै काम छैन। उनको अगाडि ल्याउनका लागि रुखको नाम बेच्नु र उसलाई खानका लागि बाख्रा दिनु हो।,0.99899185
हेर्दै जाऊ शेरे झुक्किएर सागर ढकालको घरमा पुग्छ ५००० लिएर । Ishor pokhrel र Sher Bahadur जित्नुहुन्न ।देश खतरामा छ ।,"“जाऊ अनि हेर कि शेर समुद्रको छेउमा झुकेर राज्यपालको घरमा पसेको छ। उसको कुलमा 50,000 मानिसहरू छन्। इस्शोर पोखरेल र शेर बहादुरले जित्न सक्तैनन्। देश संकटमा छ।",0.99839616
प्रधानमन्त्री आफै पैसाकाे बलमा टेकेर चुनाव लड्ने तागत देखाउछन भने अब बाँकिकाे कुरा गरिरहन जरुरत नै छैन्। लाज लागेर आउछ देशकाे प्रधानमन्त्री भन्न पनि। छि,"यदि प्रधानमन्त्री आफैले चुनावलाई बल गर्न पैसा प्रयोग गर्दछ भने, उनी फेरि बोल्नु पर्दैनन्। देशको प्रधानमन्त्री भन्न लज्जित भएको छ।",0.99768984
आउदो मङ्सिर ४ को चुनावमा अब पनि पुरानो पहिले उठेका नेताहरूले जिते भने उनीहरूको क्षमताले जितेको नभएर जनताको नालायकिपन को कारणले जितेको ठहरिनेछ। त्यसपछि कृपया पाँच वर्ष चुप लागेर बस्नूहोला। नेताले काम गरेन नभन्नु। भ्रष्टाचार गर्यो पनि नभन्नु।।।,"यदि अगुवाहरू जो उठे तिनीहरूले अझै पनि डिसेम्बर ४ को चुनावमा जितेका छन् भने तिनीहरूले विजय प्राप्त गर्ने निर्णय गर्नेछन्। तिनीहरूको शक्तिको कारणले होइन तर मानिसहरूको उदासीनताको कारणले। तब पाँच वर्षसम्म चुपचाप रहनुहोस् र नभन्नुहोस् कि अगुवाले काम गरेको छैन, नभन्नुहोस् कि ऊ भ्रष्ट छ।",0.99805427
तपाईं चुनावमा उठ्नु भएको छ।भोट कसको लागि किन दिने तपाईका येस्ता खोस्टे टुइट तपाई आफै राख्नुस ।प्रचण्ड पुच्छर,"जब तिमीहरू चुनिएका छौ, तिमीहरूले कसलाई दिन्छौ? तिमीहरूले कसलाई दिन्छौ?",0.9951004
टोल टोल र गाउँगाउँमा फलानो दलको रक्सि र चौटा भोज भन्ने समाचार भोज खाने खुवाउने सबै बुद्धिजिवी मात्रै पढेका बुझेका जानेका नै मासुभातमा विकाउ माल बन्न थाले पछि समाज र देश कसरी परिवर्तन होला अब सोच बदलौँ भोट बदलौँ ।,"लूकाको समाचार र टोल र गाउँहरूमा चौथो भोजपछि समाज र देश कसरी परिवर्तन हुनेछ? अब आफ्नो विचार परिवर्तन गर, आफ्नो मत परिवर्तन गर।",0.9978094
रुखमा मल हाल्ने सुर्यमा जल हाल्ने हँसियामा बिँड हाल्ने भोट हैन ।,"पानी भर्ने हँसियामा बाँण राख्नु, रूखमा कूवा राख्नु, सूर्यमा पानी राख्नु भन्ने मत होइन।",0.9980926
केपी ओली देशकाे राष्ट्र नेता रे बोली चाई कस्तो रुखो हो,काबुल (SW) - प्रधानमन्त्री मुहम्मद नवाज शरीफले पाकिस्तानको विदेश मंत्रालय (MOU) सँग समझौता ज्ञापन (MoU) हस्ताक्षर गरेको घोषणा गरे ।,0.9927653
प्रचण्डको पछि लागेर एउटा नियुक्ति कुरेका कलाकार लाई पनि नो भोट,आगोको तूफानपछि नियुक्त गरिएको कलाकारका लागि मत नदेऊ,0.9977302
यस्तो छ हाम्रो देशको प्रधानमन्त्रीको हालत। हाक थु,यो हाम्रो देशको प्रधानमन्त्रीको अवस्था हो ।,0.9951581
बाउ बाजे देखि सम्धि सम्धिना नाति पनाति सम्म का दाहाल तन्त्र परिबार बाद नाताबाद लाइ करोड पति पनाउन १७००० सोझा जनता को बलिदान पछि आफ्नो भुडि भकारि भर्ने यिनैलाई भोट हाल्ने गल्ती नगरौ है,"एक करोड़ पतिहरू ल्याउँनका लागि १७,००० मानिसहरूको बलिदानपछि, यी मानिसहरूका लागि मतदान गर्नु गलत होइन जसलाई तिनीहरूको आन्द्रा-भुँडी भर्न पर्दछ।",0.996941
सुकुम्वासीहरु लाई अनाबस्यक उचालेर उनीहरुको ब्यबस्थापनमा सधै बाधक बन्ने यो मान्छे यसपटक हार्नै पर्छ,यस मानिसले सुमात्राका मानिसहरूलाई अनावश्यक रूपले डोर्याउँदै सुमात्राका मानिसहरूको कल्याणलाई सधैं बाधा पुर्याउँछ।,0.99784464
मंङ्सिर चार चार छापबुढा नेता पत्तासाफ,Anchor detects four four printed leaders,0.9950468
दुई जिब्रे MCC पास गराउन दोहोरो भुमिका खेल्ने SPP पास गराउन खोज्ने पात्र नागरिकता विधेकमा दोहोरो भुमिका राज्यको १४ करोड बाख्रा खाने त्रीचन्द्र कलेजको पैसा हिनामिना गर्नेलाई भोट माग्ने तपाईं होइन झोले कलाकार,left Two MCC pass Double ground playing SPP pass Candidate citizenship seeking to pass Double ground state's 14 crore goat eating Trichandra College's money to nominate Vote not you fake artist,0.9962162
यो शेरेलाई भोट हाल्नेहरू मान्छे हैनन् गन्हाउने सिनोहरू हुन्। यस्ता रयाल काडेर बस्ने जनताको प्रश्नको उत्तर दिन नसकेर एउटा पनी पत्रकार फेस गर्न नसक्ने वाईयात मान्छेलाई भोट बीर्सेर पनी भोट नहाल्नु होला।,"शरीका लागि मतदान गर्नेहरू मानिसहरू होइनन्, तिनीहरू निन्दा गर्ने सिनिकहरू हुन्।",0.9966694
तपाईं हरु ले अब राजनीति बाट बिदा लिने बेला आयो बरु बुडो भाता लिएर घर मा ले बसे हुन्छ ओलि जिई,"""तिमीहरूका लागि अब राजनीतिबाट विदा लिनको समय आएको छ र शीतल कोट लिएर घर जानको समय आएको छ।",0.99472845
३ केपी ओली प्रचण्ड शेर बहादुर देउबा र माकुनेलाई पराजित गराउँ ४ यो पोस्ट तस्बिर र तलको नाराले सहर देखि गाउँ तथा सम्पूर्ण सामाजिक संजाल आउदो तिनदिनसम्म तताउँ ।। रबि लामिछाने प्रधानमन्त्रि यसैपालि सम्पूर्ण समानुपातिक मत घन्टीमा खसाली,यस पोस्ट तस्वीर र तलको घोषणा शहरदेखि गाउँ र सम्पूर्ण सामाजिक सञ्जालसम्म तीन दिनसम्म जारी रहनेछ।,0.9979631
प्रचण्डको पाखण्ड,बर्निङ ब्लक,0.9962867
हेर यी लाज नभएका हजुरबाहरु नेपाल आमाका कुपुत्रहरु। मुलुक आजको यो अवस्थामा पुर्याउनेहरु अझै ७ औं पटक चुनाव लड्दैछन्।,यी बेइज्जत बुबा-बुबाहरू नेपालकी आमाका छोराहरू हुन्। ती मानिसहरू जसले यस अवस्थामा देशलाई पुर्याइरहेका छन् अहिले पनि सातौं पटकसम्म लडाइँ गरिरहेका छन्।,0.99827445
होइन हजुर सतिले सरापेको मूर्ख जनता ले आशीर्वाद दिएको देश हो। नत्र मेरै friend list मा भएका केही राष्ट्रवादी साथीहरु अस्ति सम्म mcc को विरोध गर्ने अनि अहिले आएर तिनै का लागि विभिन्न माध्यम बाट भोट माग्दै हिड्ने गर्थिए र ।।,"अन्यथा, मेरो साथी सूचीमा मेरा केही राष्ट्रियवादी मित्रहरूले एमसीसीलाई उभिन सक्ने थिए र अहिले विभिन्न माध्यमहरूबाट यसलाई समर्थन गर्न र...",0.9973303
२०४८ सालदेखि लगातार चुनावमा भाग लिंदै आएका कास्कीका खगराज अधिकारी जो अलि असहिष्णु अहङ्कारी छन उनलाई फेरि पनि मत वहाँ आफ्नो नि क्षेत्रमा विकासका योजनामा सहभागी हुन त पर आसनग्रहणमा तलमाथि हुँदा नि झगडा गरेर हिड्ने यस्तालाई भनौं ।,"जालालाबादका राज्यपाल अली अश्शूनाउ, जो २० वर्षभन्दा बढी चुनावमा भाग लिइरहेका छन्, उनको आफ्नै जिल्ला विकास योजनामा भाग लिन वा तलको स्थानको अर्जनमाथि विवादमा भाग लिन अझै पनि मतदान गर्न हताउछन् भन्ने कुरामा क्रोधित छन्।",0.99781066
आदरणीय लाई टिकट नदिने लाई भोट दिनु पर्ने कुनै कारण छैन। त्यसैले ओलिलाई नो भोट,डारियानीको लागि मत नदिने कारण छैन। त्यसैले ओलीको लागि मत नदेऊ,0.99744993
भेलु बाजे भनेको सुर्य थापाएमाले हुन।सुर्य थापा भनेको नै भेलु बाजेको अर्को रुप हो।,Velu Baje को अर्थ 'सूर्य ठापा ठापा' हो। 'सूर्य ठापा' भेलु बाजको अर्को रूप हो।,0.9977365
चाहिएन तपाईं। अब सर्प पालेर बस्नु ।,"नडराऊ, सर्पको पालमा बस।",0.99785453
यो पटकको चुनावमा म ठूला पाटी कांग्रेस एमाले र मावाबादीलाई भोट कूनै हालतमा दिन्न।। मलाई आफ्नो भविश्य चोर र फटाहाको हातमा सुम्पिनु छैन ।। याे चुनाब ठूला दललाई भोट नहाल्लौ साना लाई सता मा पुने मौका दिउँ केहि त परिवर्तन आउँछ कि,अर्को चुनावमा म महासभा र मवाबादीलाई एउटा मत दिनेछु। म मेरो भागीदारी चोर र पापीको हातमा राख्ने छैन। महासभा र मवाबादीलाई मत नदेऊ। सानालाई विश्वासघाती भनिने मौका देऊ।,0.9982264
हैन प्रकाश मानलाई भोट दिएर आफ्नै खुट्टामा बन्चरो नहानौ है,तपाईँको खुट्टामा हिर्काएर हल्का मानलाई हराउनु हुदैन ।,0.9957817
हालसालै सुनेको मतदातालाई ट्रापमा पारेर भोट विकाउने विचौलियाहरु पनि हुदा रहेछन। मधेशमा त मतदाता परिचयपत्र कव्जा गरेर मतको बार्गेनिङ गर्ने गरिएको पनि सुनिएको छ। विचौलियाले कही छोडेनन् सतर्क हौ है अब यस्तो नहोस। Commis,"विगतमा, आफ्ना मत बेच्नका लागि मतदाताहरूलाई राजदण्ड दिएर मतदाताहरूको षड् यन्त्रको उदाहरणहरू भएको थियो। महेशपुरमा, मतदाताहरू पनि मतदाता आईडी कार्ड खरिद गर्न राजदण्ड दिइएको थियो।",0.99810034
नेकपा ठगबन्धनको ५० थियो क्यार अहिलेको यो ठगबन्धनको २० बर्षमा घटेछ हैट अझै यिनका फटाइको पछि लागिरहने via,"यो भूकम्पको ५० औं वर्षगांठ थियो, तर अहिले यो भूकम्प २० वर्षमा घटाइएको छ, र यो यसको उत्प्लावनबाट अहिलेसम्म जारी छ",0.99674815
प्रचण्डे हत्यारा । शेरे भ्रष्टाचारी । माकुने देशघाती ।,उनी एक हिंसक हत्यारा हुन्। उनी भ्रष्ट छन्। उनी एक हत्यारा हुन्।,0.99305236
