,tweet
38,नींद से जागो मोहन प्यारे पोस्टर पर फ़रवरी की जगह मार्च कर लो फ़रवरी बीत चुका है।
39,SP अध्यक्ष का बड़ा बयान इन्हीं तारीखों का जनता इंतजार कर रही थी मार्च के बाद यूपी से भारतीय जनता पार्टी का सफाया होगा
40,अयोध्या में बीजेपी और सपा के समर्थकों के बीच फायरिंग जमकर चले पत्थर अभी तक पांच आरोपी हिरासत में
41,भाजपा की एक बात पर तारीफ़ करनी पड़ेगी की एसी कमरों में बैठकर बूथ मैनेजमेंट का खाका बनाकर कार्यकर्ताओं को बूथ पर भेजने वाले कांग्रेस नेताओं को भाजपा पार्टी जॉइन करने के बाद बूथ पर काम करने के लिए लगा देती है विचार सौजन्य एक जुनूनी कांग्रेसी
42,सेमीफाइनल की तैयारी भाजपा पर है पांच राज्यों में चुनाव जीतने का मानसिक दबाव बन रही है के लिए यह विशेष रणनीति
43,जितना बड़ा गपौड़ी बड़ा मोदी उतना ही बड़ा गपौड़ी छोटा संघी रिचार्ज छोटा मोदी अरविंद केजरीवाल
44,चुनावी रैलियों और रोड शो पर प्रतिबंध जनवरी तक बढ़ा तेज रफ्तार में देखिए देशदुनिया की बड़ी खबरें
45,शेर अली हो गया ढेर अलीयूपी के वोटर की चरण धूलि सर माथेजय हो
46,सिर्फ नौटंकी यह आये थे राजनीती बदलने। चुलु भर पानी मैं डूब मरो दिल्ली को बर्बाद कर के रख दिया
47,कांडोलकर ने प्रशांत किशोर की पॉलिटिकल कंसल्टेंट कंपनी आईपैक पर टीएमसी उम्मीदवारों से किनारा करने और बुरे व्यवहार का आरोप लगाया है
48,टैक्स के पैसे को मुफ़्त में बाटने वाले अब दिल्ली से निकल पंजाब उत्तराखण्ड से होकर गोवा की तरफ निकले है
49,चुनाव में एक प्रत्याशी लाख खर्च करेगा। सैलरी की आय से आधा कार्यकाल तो बयाज़ सहित रिकवरी में निकल जाएगा। बीजेपी जैसी संस्कारी पार्टी के उम्मीदवार इतना पैसा क्यों खर्च करते है।
50,गोवा में भाजपा ने सालों में सिर्फ घोटाले किए AAP संयोजक अरविंद केजरीवाल
51,के मडगांव बम ब्लास्ट के साथसाथ नरेंद्र दाभोलकर गोविंद पनसारे और एमएम कलबुर्गी की हत्याओं का आरोप है अदालती कार्रवाई जारी है टीएमसी ममता बैनर्जी जैसों का कोई दीनईमान नहीं
52,मे amp भाजपा के एजेंट के रूप मे काम कर रही है इनको यह ध्यान रहे इनके स्टेट का भी वोटर इनको देख रहा है वह सब जानता है
53,अमृत काल हो तो गुजरात जैसा हजार करोड़ के बैंकिंग घोटाले के साथ हजार करोड़ की ड्रग्स जब्त देश बदल रहा है सो रहा है
54,शिवसेना का तंज गोवा में अपने बूते सीट भी नहीं जीत सकती कांग्रेस
55,तो कांग्रेसी चमच्च है। फिर को इसकी मानने की जरूरत क्या पड़ गई सट्टेबाजी का भाव बनाने वाले सुभाष चंद्र पता नहीं इतना पैसा कहां ले के जायेंगे।
56,पैसा पॉलिटिक्स पावर यानि गोवासिर्फ एक परमीशन यहां रातोंरात लखपति बना देती हैं लेकिन यह फैसिलिटी खास लोगों को ही
57,पुलवामा में शहीद हुए हमारे जवानो की आत्मा को अब तक शांति नही मिली है उनके हत्यारों को कब पकड़ोगे
58,सरकार के प्रवचन में ना आएँ यूपी में अभी चुनाव तक रहेगा हिंदूमुस्लिम और जिन्ना का भूतः
59,एक वादा है निभाने के लिए वोट करो। हर बार आपने जिताने के लिए वोट किया। अबकी बार कातिल को हराने के लिए वोट करो।
60,यह वही कमल का फूल है जिसका बटन दबाने से अब भारत के शहरो में बम नहीं फटते। मेरे के भाइयों वोट देने से पहले एक बार जरूर विचार करना।
61,जो राजनीतिक दल दशकों तक सत्ता में रहे हैं लोगों को इस बात पर बांटा कि कुछ को ये मिलेगा कुछ को नहीं मिलेगा
62,हम गोवा को कोयला का हब नहीं बन्ने देंगे चाहे कुछ भी हो जाए
63,कृपया वर्ष से अधिक आयु के परिवार के प्रत्येक सदस्य के लिए बोतल शराब भी उपलब्ध कराएं
64,भारत के प्रत्येक जनता को जानना चाहिए की परिवारवादी पार्टियों से देश को कितना नुकसान है
65,जब आपकी पार्टी के लोग इतने सच्चे और ईमानदार है तो ये डर कैसा इतना असुरक्षित तो हारने वाला ही हो सकता है याद रहे एक डरी हुई पार्टी गोवा नहीं चला सकती
66,आशा है कि मंदिर के पुजारी ने इस गंदगी के जाने के बाद मंदिर को अच्छी तरह धोया।
67,गोआ में कांग्रेस के निकम्मेपन और अमित शाह की अति सक्रियता के मिला जुला परिणाम यह हो सकता है कि में ।सीट कांग्रेस की सरकार भाजपा की
68,मैं इस्लामिक कट्टरवाद में बसता हूँ कांग्रेसी मुझे भगवा में ढूँढते हैं
69,जनता को मूर्ख बनाकर मोदी वही चुनावी खेल खेलते रहते हैं। अब विधानसभा चुनाव में जनता माफ नहीं करेगी जो बेरोजगारी कोविड कुप्रबंधन किसानों की मौत उन्हें सह करना पड़ा
70,केजरीवाल जी जो स्कीम बता रहें है वह तो पहले से ही गोवा में है उनका असली चेहरा दिल्ली वालों को पता है इंडिया टीवी से बातचीत
71,पोस्टल बैलट तुरूप का इक्का साबित हो रहें हैं भाजपा के लिए जो वोट नहीं भी कर रहे हैं उनके वोट स्वत ही पड़ रहें हैं
72,Goa वालों बच के रहना ये करोना का नया Variant है वहाँ INC ही सबसे better option है
73,और की हार में देश की जीत है।। के इन दो षडयंत्र और पार्टियों को हमेशा के लिए गड्डे में गाड़ने पर ही अब आधुनिक नव भारत का निर्माण होगा।।
74,बीजेपी ने गोवा में घोटाले भ्रष्ट्राचार किए अरविंद केजरीवाल
75,भाइयों उस पार्टी को कभी सपोर्ट न करना जिसकी जीत की खुशी पाकिस्तान में मनायी जाए
76,देश में सरकार के अलावा कौन सी ऐसी सरकार है जिसने पूर्व की सरकार द्वारा विरासत में मिले कर्ज के घटाया है
77,देशविरोधी ताकतें हिन्दुओं को बांटने का प्रयास कर रही हैं ये चुनाव अवसर है ऐसी राजनीतिक ताकतों को दफना देने का।
78,न बने अस्पताल न काम आई बाइक एम्बुलेंस लाख में बाइक खरीदी और प्रचार पर उड़ाए लाख। क्या इसी प्रचार मॉडल को आप बताते हैं वर्ल्ड क्लास
79,मेडम वो EVM वाले ट्वीट कितने बजे से करना है या इस बार Toolkit में कुछ और है
80,ये तो कमाल ही कर दिया and ने या तो आप ने गलती करी या आप जनता को बेवकूफ़ समझते हैं
81,तो गोवा का नाम गांव होता । एक बात तो है मोदी जी के होते हुए कॉमेडी की कमी जिंदगी में कभी महसूस नहीं होती । आपकी लोगों की क्या राय है
82,बीजेपी प्रवक्ता जैसे व्यक्ति को जिन्ना हिंदूमुस्लिम मस्जिद हिजाब पर आना पड़ जाए तो इनकी बौखलाहट और निराशा पता चलती है सपा नेता
83,अबे कहाँ भाग बे चोर दिल्ली की कालोनियों में बह रहा है नालियों का पानी और दिल्ली की जनता मचा रही है शोर जबकि दिल्ली का CM गोआ पंजाब घूम रहा है चोर
84,सभी लोगो को पता है कि बीजेपी और आप एक सिक्के के दो पहलू है तहसीन पूनावाला
85,मोहल्ला क्लिनिक क्लोज हैं ठेके खुल रहे रोज है
86,अभी तक कुछ लोगों ने ये नहीं साबित कर दिया होगा कि नही सही स्पेलिंग है
87,अपने पांच साल के कार्यकाल में पुर्तगालियों द्वारा तोड़े गए कितने मंदिर बनवा पाए मुख्यमंत्रीजी अच्छा आप व्यस्थ होंगे सरकार चलाने में अपने विधायकों को रोकने में कि कहीं विपक्ष से न जुड़ जाएं। आपको समय ही नहीं मिला होगा मंदिरों के बारे में सोचने का भी।
88,कांग्रेस को चुनाव नतीजों के पहले सता रहा डर जानिए पार्टी उम्मीदवारों को क्यों दिलाई शपथ
89,ये मुझे बेईमान बोलता था आज मेरे बगल में बैठा है
90,को देने का एक माध्यम यह भी है कि इसी पार्टी ने दुनिया को यह बताया है कि भारत का और पहचान व हैं Vote For Yogi
91,भाजपा ने जिस मनोहर पर्रिकर को आदर्श के रूप में स्थापित किया था उसी के विरोधियों को टिकट देकर क्या साबित करना चाहती है पर्रिकर के सभी समर्थक भाजपा से किनारे होते जा रहे हैं।
92,गोवा में भाजपा ने साल राज किया। मैं पूछना चाहता हूं कि इन सालों में भाजपा ने गोवा के लोगों के लिए क्या किया कुछ भी नहीं किया। भाजपा ने सालों में सिर्फ घोटाले किए AAP संयोजक अरविंद केजरीवाल डोना पाउला गोवा
93,इसी से अंदाजा लगाया जा सकता है में और की क्या हालत हैजब लगी फटने तो खैरात लगी बटने नोट ये तो वो नमूने है जो बढ़ती महंगाई को विकास बताते थे
94,जो राम को लाएं हैं हम उनको लाएंगे Vote For BJP
95,jab doobna thay hai toh Calangute ya Vasco koi farak nahi padtha
96,दिल्ली से जूझ रहा है और केजरीवाल गोवा पंजाब और यूपी में लगे हुए है सत्ता की लालच में अन्ना आंदोलन करने वाले आज दिल्ली के लोगो को मुसीबत में छोड़कर अपनी राजनिति चमकाने निकले है जबकि दिल्ली के लोगो ने ही इन्हें पहचान दिलाई है।
97,जब गोवा में सत्याग्रहियों पर गोलियां चल रही थीं तो प्रधानमंत्री Nehru ने फौज को भेजने से मना किया PM
98,साहब को गरीबो से इतना प्यार है के वोह देश में गरीबो की सँख्या बढ़ाते जा रहे है जब गरीब बढ़ेंगे तब ही तो साहब गरीबो के लिए कल्याण कारी योजना लाएंगे
99,अबे ७० साल मै रोजगार नही पैदा कर पाए अब करेंगे बस चुनावी जुमलेबाजी है रोजगार की समस्या उन चुनौतियों के लिए जो फ्री मै ही सब चाहते है।आज का युवा आगे बड़ रहा है।स्टार्टअप सबसे ताजा उदहारण हैबंद करो अपनी दुकान
100,नेताओ पर ज्यादा विश्वास मत करना जो लोग से पहले अजमेर जाते थे आजकल वो अयोध्या मथुरा और काशी विश्वनाथ जाने लगे है।
101,गोवा में BJP खुल कर कह रही है कि हमारे MLAs आ गए तब भी हम ही सरकार बनाएंगे हम विधायक खरीद लेंगे इससे ज्यादा बेशर्मी क्या हो सकती है
102,ये हवा के बदलाव का इशारा तो नहीं मित्रों Stock Market मंदड़ियों के जाल में फंसा बाजार बिकवाली के तूफान में दिन में इनवेस्टर्स के डूबे लाख करोड़ रुपये
103,मशीनें ठीक है या खराब है मार्च को पता चलेगा।
104,Goa Elections आदित्य ठाकरे बोले भाजपा ने पीठ में छुरा घोंपा शिवसेना गोवा में भविष्य के सभी चुनाव लड़ेगी
105,मित्रों ने आगामी की तारीखों का ऐलान कर दिया हैबस अब आप को इतना याद रखना है
106,प्रमोद सावंत बोले गोवा में पर्यटक के रूप में छुट्टी मनाने आए राहुल गांधी कोई भी उन्हें नहीं लेता गंभीरता से
107,गोवावासियों सावधानफ्रीफ्री के वादे के साथ लूटेरे हैं तैयारआ रहे हैं साल तक जी भर लूटने का लाइसेंसिंग लेने
108,हमारे देश के लोगों को सुविधाएं और फ्री की चीजें चाहिए लेकिन सिर्फ करेंगे हद है
109,करोड़ नौकरी का वादा कौड़ी का निकला। बेरोजगारो पर पड़ी लाठी बेरोजगारी के आंकड़ो का दम निकला। से शब्दो का मरहम न निकला।
110,भाजपा झूठ का पिटारा है कॉंग्रेस विकास का ख़ज़ाना है। हाथ का बटन दबायेंगे नफ़रत छोड़ विकास को अपनाएंगे।
111,लगता है प्रधानमंत्री को बना कर ही छोड़ेंगे।
112,ईमानदारी तो इस खुजली के आगे और पीछे दोनों तरफ से झलकता है दिल्ली जीता पानी और बिजली माफ़ करने के नाम पर तो इस ट्वीट में अटैच्ड बिल खाना का है
113,इस बार उंगली की स्याही सीधे संतरों के मुंह की कालिख होगी ।
114,AAP और TMC को वोट देने का मतलब बीजेपी को वोट देना है। उन्हें वोट दिया तो गोवा लोगों के हाथ से गया
115,अंधभक्तों अपने तानाशाह से एक सवाल तो कर लो यदि अमित शाह का बेटा जय शाह BCCI का सचिव बन सकता है तो स्वर्गीय मनोहर पर्रिकर का बेटा उत्पल पर्रिकर विधायक क्यों नहीं बन सकता
116,गोवा में भाजपा ने साल राज किया। मैं पूछना चाहता हूं कि इन सालों में भाजपा ने गोवा के लोगों के लिए क्या किया कुछ भी नहीं किया। भाजपा ने सालों में सिर्फ घोटाले किए AAP संयोजक अरविंद केजरीवाल
117,हिन्दू वोटर को बांटना क्या यह सेकुलरिज्म है क्या यह आचार चुनाव संहिता का उल्लंघन नहीं है
118,ऐ कलमुंही एवीएम तैयार हों जाओ। सब आरोप बदनामी के तुम पर ही हैं।
119,कसीनो के खिलाफ गोवा में छिड़ी जंग स्थानीय लोगों का कहना यहां साल की लड़कियों को ड्रग्स सेक्स और जुए की लत हर शाम इनकी बोली लगती है
120,भारत की पवित्र भूमि पर आपके राज्यो का नेतृत्व किनके हाथ हो यह आप निश्चित करेंगे जो संस्कृति सनातन धर्म के साथ है देश उनके साथ है।।
121,केजरीवाल के तथाकथित वर्ल्ड क्लास स्वास्थ्य सेवा मॉडल की पोल खोल कर उत्तराखंड पंजाब एवं गोवा की जनता को ठगी मे माहिर AAP के बारे मे आगाह करती राष्ट्रीय प्रवक्ता जी
122,हमारे लिए गोवा के लोग VIP हैं। जितनी तेजी से प्रधानमंत्री के लिए हेलीपैड बना उतनी ही तेजी से गोवा में सड़कें बस स्टैंड और अन्य चीजें बनेंगी और आपके सभी काम होंगे AAP संयोजक और दिल्ली के मुख्यमंत्री पणजी गोवा
123,अब बोला जायेगा मित्रों मैं गोवा के बीचों पर लोगों को चाय पिलाया करता था।
124,बधाई गोवा दिल्ली का ठगअब में भी।
125,अबकी बार जनता करेगी वार डूबेगी सरकार मिलेगी करारी हार।
126,दिल्ली की टूटी और कचरा भरी सड़कों पर चलने वाले भी गाली देते हैं जिन मोहल्लों में शराब की दुकानें खुलवा दीं वो भी गाली देते हैं जो फ्लाईओवर और मेट्रो पूरे नहीं होने से जाम में फँसते हैं वो गाली देते हैं विज्ञापन से क्या क्या छुपाओगे
127,बीजेपी काँग्रेस ने दिल्ली को लूट रखा था देश में दिल्ली को स्कैम दिल्ली कहा जाता था केजरीवाल
128,केजरीवाल ने गोवा में जाति के आधार पर की मुख्यमंत्री चेहरे की घोषणा। ईमानदार राजनीति की बात करने वाले आम आदमी केजरीवाल अब समाज और जाति पर राजनीति करने लगे है। केजरीवाल झूठ बोलता है।
129,से डर गये युवराजकही और पोल खोल ना कर दे ।
130,कांग्रेसबीजेपी भाईभाईदोनो ऐसे जैसे लोग लुगाई में कांग्रेस को वोट देने से पहले सोच लेना भाई
131,नए शराब के ठेके खुलवाने के लिए अपनी नयी पीढ़ी को नशे में धकेलने के लिए कांटेक्ट
132,पहले मतदान फिर जलपानआपसे पुनः विनम्र आग्रह हैवोटिंग जाति और धर्म के आधार पर ना करें इसलिए जाट और मुस्लिम आरएलडी और समाजवादी पार्टी को जाति व धर्म के आधार पर वोट न करें।
133,भ्रष्टाचार से लड़ाई के नाम पर ही तो दिल्ली की सत्ता मिली थी काठ की हांडी हर जगह नहीं चढ़ेगी।
134,वो गोवा पिकनिक मनाने जाते हैं हम पर्यटन के साथ वहाँ की संस्कृति विरासत और प्रगति पर भी ध्यान रखते हैं
135,मुख्यमंत्री प्रमोद सावंत ने कहा कि नेता राहुल गांधी ने एक पर्यटक के रूप में का दौरा किया कोई भी उन्हें गंभीरता से नहीं ले रहा है और इसलिए तटीय राज्य की सरकार की उनकी आलोचना का जवाब देने की कोई जरूरत नहीं है।
136,गृह मंत्री ने में कहा जब जम्मूकश्मीर से अनुच्छेद को हटाने का बिल संसद में पेश किया गया तो विपक्ष के लोग कहते थे कि कश्मीर में खून की नदियां बहेंगी। लेकिन पत्थर तो छोड़ो किसी की कंकड़ मारने तक की हिम्मत नहीं हुई
137,झूठाअरविन्द केजरीवाल दिल्ली के लोगो का पानीबिजली बिल माफ़ नहीं करते है तो कैसे दूसरे राज्यों के चुनाव में जाकर वादा कर रहे है की वो उस राज्य के लोगो को पानीबिजली बिल माफ़ कर देंगे
138,साल कांग्रेस साल बीजेपी ने गोवा को लूटा बोले अरविंद केजरीवाल हम देंगे ईमानदार सरकार
139,हापुड़ में सीएम ने कहा चुनाव की घोषणा के बाद जो अपने बिलों से निकलकर बिलबिला रहे हैं इनकी गर्मी मार्च को शांत हो जाएगी
140,शर्म आनी चाहिए एक डूबता हुआ पक्ष एक गिरती हुई पार्टी भी आपको लात मारकर हकाल देती है चल हट alliance
141,तिर कमान वसुली पण ध्यान तिर कमान भ्रष्टचार का नया ज्ञान तिर कमान तुटे फुटे काँग्रेस मे जान तिर कमान काका बनाये जायेगा गा प्रधान तिर कमान राऊत दारू का नया डॉन
142,सारे चोर हैं जी पर GOA में मैं इनसे मिलकर सरकार बना सकता हूँ। पहचान कौन
143,यूपी में गजवा ए हिंद का सपना पूरा नहीं होगा Cm Yogi Adityanath
144,जो जितना बड़ा अपराधी वो उतना ही बड़ा समाजवादी
145,यह आग संपूर्ण हिन्दू स्तान में फैल जाएगी। हम देखते रह जाएंगे। और इसी के साथ में की एंट्री नया हिन्दू स्तान मुबारक।
146,उत्तर प्रदेश उत्तराखंड गोवा से बीजेपी हारेगी तभी मोदी की अक्ल ठिकाने लगेगी
147,सही तो बोल रहे हैं केजरी चाचा उन्होंने दिल्ली में काम नहीं किया है इसलिए टीवी और प्रिंट मीडिया में दे विज्ञापन दे विज्ञापन देना पड़ रहा है
148,Ground Zero Ke Hero पणजीगोवा गोवा की जनता का वोट दिनदहाड़े डांका दालकर चोरी कर ली गई रणदीप सिंह सुरजेवाला नेता कांग्रेस
149,रूपये में पेट्रोल राजस्थान वालों तुम्हारा तो चुampया कट गया।
150,आज़ाद हो लेकिन गुलाम मानसिकता के गुलाम और अगर नहीं तो बीजेपी को वोट क्यों कर रहे हो l यह देश तुम्हारा भी है सिर्फ चोर लुटेरों का नहीं l
151,छोटे संघी रिचार्ज भाई केजरीवाल जी में संघी माल पानी पर को नुकसान पहुंचाने के लिए चुनाव लड़ने वाली को वोट कटवा पार्टी नहीं तो क्या वोट सटवा पार्टी कहे पैसा संघीयों से लेते हो दावा ईमानदारी सच्चाई का करके आमआदमी बनने का ढोंग करते हो
